listing_id,brand,os,release_year,days_used,age_years,age_bucket,has_4g,has_5g,screen_size,ram_gb,storage_gb,rear_cam_mp,front_cam_mp,battery_mah,weight_g,used_price_norm,new_price_norm,depreciation_norm,used_to_new_ratio
1,Honor,Android,2020,131.12,0.3592328767123288,<6 bulan,True,False,14.5,3.0,64.0,13.0,5.0,3020.0,146.0,4.307572449,4.715100245,0.4075277960000001,0.9135696433109451
2,Honor,Android,2020,325.0,0.8904109589041096,6-12 bulan,True,True,17.3,8.0,128.0,13.0,16.0,4300.0,213.0,5.162096647,5.519017936,0.35692128899999975,0.9353288405403001
3,Honor,Android,2020,162.0,0.4438356164383562,<6 bulan,True,True,16.69,8.0,128.0,13.0,8.0,4200.0,213.0,5.111083765,5.884630724,0.7735469589999999,0.8685479182499677
4,Honor,Android,2020,345.0,0.9452054794520548,6-12 bulan,True,True,25.5,6.0,64.0,13.0,8.0,7250.0,480.0,5.135386588,5.630960854,0.4955742659999993,0.9119911718711445
5,Honor,Android,2020,293.0,0.8027397260273973,6-12 bulan,True,False,15.32,3.0,64.0,13.0,8.0,5000.0,185.0,4.389994804,4.947837479,0.5578426750000007,0.887255254973988
6,Honor,Android,2020,223.0,0.6109589041095891,6-12 bulan,True,False,16.23,4.0,64.0,13.0,8.0,4000.0,176.0,4.413888608,5.060694494,0.6468058860000001,0.8721902919121362
7,Honor,Android,2020,234.0,0.6410958904109589,6-12 bulan,True,False,13.84,2.0,32.0,8.0,5.0,3020.0,144.0,3.878259375,4.518958489,0.6406991140000002,0.8582197390041127
8,Honor,Android,2020,219.0,0.6,6-12 bulan,True,False,15.77,4.0,64.0,13.0,8.0,3400.0,164.0,4.729421148,5.18872569,0.4593045419999999,0.9114802806235841
9,Honor,Android,2020,161.0,0.4410958904109589,<6 bulan,True,False,15.32,6.0,128.0,13.0,16.0,4000.0,165.0,4.886054204,5.299916088,0.4138618840000001,0.9219116157448114
10,Honor,Android,2020,327.0,0.8958904109589041,6-12 bulan,True,False,16.23,6.0,128.0,13.0,8.0,4000.0,176.0,4.773223771,5.073610093,0.3003863220000005,0.9407943621023539
